idItinerario,DataHoraPartida,DataHoraChegada,Percurso
"80","2016-12-12 10:00:00","2016-12-12 14:30:00","5"
"81","2016-12-12 10:00:00","2016-12-12 14:30:00","3"
"82","2016-12-12 15:00:00","2016-12-12 20:30:00","4"
"83","2016-12-12 15:00:00","2016-12-12 20:30:00","6"
"84","2016-12-12 17:00:00","2016-12-12 20:00:00","2"
"85","2016-12-13 08:00:00","2016-12-13 12:30:00","1"
"86","2016-12-13 09:00:00","2016-12-15 05:00:00","12"
"87","2016-12-13 10:00:00","2016-12-13 14:30:00","5"
"88","2016-12-13 10:00:00","2016-12-13 14:30:00","3"
"89","2016-12-13 15:00:00","2016-12-13 20:30:00","4"
"90","2016-12-13 15:00:00","2016-12-13 20:30:00","6"
"91","2016-12-13 17:00:00","2016-12-13 20:00:00","2"
"92","2016-12-14 08:00:00","2016-12-14 12:30:00","1"
"93","2016-12-14 09:00:00","2016-12-15 02:00:00","10"
"94","2016-12-14 10:00:00","2016-12-14 14:30:00","5"
"95","2016-12-14 10:00:00","2016-12-14 14:30:00","3"
"96","2016-12-14 15:00:00","2016-12-14 20:30:00","4"
"97","2016-12-14 15:00:00","2016-12-14 20:30:00","6"
"98","2016-12-14 17:00:00","2016-12-14 20:00:00","2"
"99","2016-12-15 08:00:00","2016-12-15 12:30:00","1"
"100","2016-12-15 10:00:00","2016-12-15 14:30:00","5"
"101","2016-12-15 10:00:00","2016-12-15 14:30:00","3"
"102","2016-12-15 15:00:00","2016-12-15 20:30:00","4"
"103","2016-12-15 15:00:00","2016-12-15 20:30:00","6"
"104","2016-12-15 17:00:00","2016-12-15 20:00:00","2"
"105","2016-12-16 08:00:00","2016-12-16 12:30:00","1"
"106","2016-12-16 09:00:00","2016-12-18 01:00:00","11"
"107","2016-12-16 10:00:00","2016-12-16 14:30:00","5"
"108","2016-12-16 10:00:00","2016-12-16 14:30:00","3"
"109","2016-12-16 15:00:00","2016-12-16 20:30:00","4"
"110","2016-12-16 15:00:00","2016-12-16 20:30:00","6"
"111","2016-12-16 17:00:00","2016-12-16 20:00:00","2"
"112","2016-12-17 00:09:00","2016-12-18 01:00:00","13"
"113","2016-12-17 00:09:00","2016-12-18 01:00:00","14"
"114","2016-12-17 08:00:00","2016-12-17 12:30:00","1"
"115","2016-12-17 10:00:00","2016-12-17 14:30:00","5"
"116","2016-12-17 10:00:00","2016-12-17 14:30:00","3"
"117","2016-12-17 15:00:00","2016-12-17 20:30:00","4"
"118","2016-12-17 15:00:00","2016-12-17 20:30:00","6"
"119","2016-12-17 17:00:00","2016-12-17 20:00:00","2"
"120","2016-12-18 06:00:00","2016-12-18 22:00:00","7"
"121","2016-12-18 08:00:00","2016-12-18 12:30:00","1"
"122","2016-12-18 10:00:00","2016-12-18 14:30:00","5"
"123","2016-12-18 10:00:00","2016-12-18 14:30:00","3"
"124","2016-12-18 15:00:00","2016-12-18 20:30:00","4"
"125","2016-12-18 15:00:00","2016-12-18 20:30:00","6"
"126","2016-12-18 17:00:00","2016-12-18 20:00:00","2"
"127","2016-12-19 05:00:00","2016-12-21 02:00:00","8"
"128","2016-12-19 08:00:00","2016-12-19 12:30:00","1"
"129","2016-12-19 10:00:00","2016-12-19 14:30:00","5"
"130","2016-12-19 10:00:00","2016-12-19 14:30:00","3"
"131","2016-12-19 15:00:00","2016-12-19 20:30:00","4"
"132","2016-12-19 15:00:00","2016-12-19 20:30:00","6"
"133","2016-12-19 17:00:00","2016-12-19 20:00:00","2"
"134","2016-12-20 08:00:00","2016-12-20 12:30:00","1"
"135","2016-12-20 09:00:00","2016-12-22 05:00:00","12"
"136","2016-12-20 10:00:00","2016-12-20 14:30:00","5"
"137","2016-12-20 10:00:00","2016-12-20 14:30:00","3"
"138","2016-12-20 15:00:00","2016-12-20 20:30:00","4"
"139","2016-12-20 15:00:00","2016-12-20 20:30:00","6"
"140","2016-12-20 17:00:00","2016-12-20 20:00:00","2"
"141","2016-12-21 08:00:00","2016-12-21 12:30:00","1"
"142","2016-12-21 09:00:00","2016-12-22 02:00:00","10"
"143","2016-12-21 10:00:00","2016-12-21 14:30:00","5"
"144","2016-12-21 10:00:00","2016-12-21 14:30:00","3"
"145","2016-12-21 15:00:00","2016-12-21 20:30:00","4"
"146","2016-12-21 15:00:00","2016-12-21 20:30:00","6"
"147","2016-12-21 17:00:00","2016-12-21 20:00:00","2"
"148","2016-12-22 08:00:00","2016-12-22 12:30:00","1"
"149","2016-12-22 10:00:00","2016-12-22 14:30:00","5"
"150","2016-12-22 10:00:00","2016-12-22 14:30:00","3"
"151","2016-12-22 15:00:00","2016-12-22 20:30:00","4"
"152","2016-12-22 15:00:00","2016-12-22 20:30:00","6"
"153","2016-12-22 17:00:00","2016-12-22 20:00:00","2"
"154","2016-12-23 08:00:00","2016-12-23 12:30:00","1"
"155","2016-12-23 09:00:00","2016-12-25 01:00:00","11"
"156","2016-12-23 10:00:00","2016-12-23 14:30:00","5"
"157","2016-12-23 10:00:00","2016-12-23 14:30:00","3"
"158","2016-12-23 15:00:00","2016-12-23 20:30:00","4"
"159","2016-12-23 15:00:00","2016-12-23 20:30:00","6"
"160","2016-12-23 17:00:00","2016-12-23 20:00:00","2"
"161","2016-12-24 00:09:00","2016-12-25 01:00:00","13"
"162","2016-12-24 00:09:00","2016-12-25 01:00:00","14"
"163","2016-12-24 08:00:00","2016-12-24 12:30:00","1"
"164","2016-12-24 10:00:00","2016-12-24 14:30:00","5"
"165","2016-12-24 10:00:00","2016-12-24 14:30:00","3"
"166","2016-12-24 15:00:00","2016-12-24 20:30:00","4"
"167","2016-12-24 15:00:00","2016-12-24 20:30:00","6"
"168","2016-12-24 17:00:00","2016-12-24 20:00:00","2"
"169","2016-12-25 06:00:00","2016-12-25 22:00:00","7"
"170","2016-12-25 08:00:00","2016-12-25 12:30:00","1"
"171","2016-12-25 10:00:00","2016-12-25 14:30:00","5"
"172","2016-12-25 10:00:00","2016-12-25 14:30:00","3"
"173","2016-12-25 15:00:00","2016-12-25 20:30:00","4"
"174","2016-12-25 15:00:00","2016-12-25 20:30:00","6"
"175","2016-12-25 17:00:00","2016-12-25 20:00:00","2"
"176","2016-12-26 05:00:00","2016-12-28 02:00:00","8"
"177","2016-12-26 08:00:00","2016-12-26 12:30:00","1"
"178","2016-12-26 10:00:00","2016-12-26 14:30:00","5"
"179","2016-12-26 10:00:00","2016-12-26 14:30:00","3"
"180","2016-12-26 15:00:00","2016-12-26 20:30:00","4"
"181","2016-12-26 15:00:00","2016-12-26 20:30:00","6"
"182","2016-12-26 17:00:00","2016-12-26 20:00:00","2"
"183","2016-12-27 08:00:00","2016-12-27 12:30:00","1"
"184","2016-12-27 09:00:00","2016-12-29 05:00:00","12"
"185","2016-12-27 10:00:00","2016-12-27 14:30:00","5"
"186","2016-12-27 10:00:00","2016-12-27 14:30:00","3"
"187","2016-12-27 15:00:00","2016-12-27 20:30:00","4"
"188","2016-12-27 15:00:00","2016-12-27 20:30:00","6"
"189","2016-12-27 17:00:00","2016-12-27 20:00:00","2"
"190","2016-12-28 08:00:00","2016-12-28 12:30:00","1"
"191","2016-12-28 09:00:00","2016-12-29 02:00:00","10"
"192","2016-12-28 10:00:00","2016-12-28 14:30:00","5"
"193","2016-12-28 10:00:00","2016-12-28 14:30:00","3"
"194","2016-12-28 15:00:00","2016-12-28 20:30:00","4"
"195","2016-12-28 15:00:00","2016-12-28 20:30:00","6"
"196","2016-12-28 17:00:00","2016-12-28 20:00:00","2"
"197","2016-12-29 08:00:00","2016-12-29 12:30:00","1"
"198","2016-12-29 10:00:00","2016-12-29 14:30:00","5"
"199","2016-12-29 10:00:00","2016-12-29 14:30:00","3"
"200","2016-12-29 15:00:00","2016-12-29 20:30:00","4"
"201","2016-12-29 15:00:00","2016-12-29 20:30:00","6"
"202","2016-12-29 17:00:00","2016-12-29 20:00:00","2"
"203","2016-12-30 08:00:00","2016-12-30 12:30:00","1"
"204","2016-12-30 09:00:00","2017-01-01 01:00:00","11"
"205","2016-12-30 10:00:00","2016-12-30 14:30:00","5"
"206","2016-12-30 10:00:00","2016-12-30 14:30:00","3"
"207","2016-12-30 15:00:00","2016-12-30 20:30:00","4"
"208","2016-12-30 15:00:00","2016-12-30 20:30:00","6"
"209","2016-12-30 17:00:00","2016-12-30 20:00:00","2"
"210","2016-12-31 00:09:00","2017-01-01 01:00:00","13"
"211","2016-12-31 00:09:00","2017-01-01 01:00:00","14"
"212","2016-12-31 08:00:00","2016-12-31 12:30:00","1"
"213","2016-12-31 10:00:00","2016-12-31 14:30:00","5"
"214","2016-12-31 10:00:00","2016-12-31 14:30:00","3"
"215","2016-12-31 15:00:00","2016-12-31 20:30:00","4"
"216","2016-12-31 15:00:00","2016-12-31 20:30:00","6"
"217","2016-12-31 17:00:00","2016-12-31 20:00:00","2"
"218","2017-01-01 06:00:00","2017-01-01 22:00:00","7"
"219","2017-01-01 08:00:00","2017-01-01 12:30:00","1"
"220","2017-01-01 10:00:00","2017-01-01 14:30:00","5"
"221","2017-01-01 10:00:00","2017-01-01 14:30:00","3"
"222","2017-01-01 15:00:00","2017-01-01 20:30:00","4"
"223","2017-01-01 15:00:00","2017-01-01 20:30:00","6"
"224","2017-01-01 17:00:00","2017-01-01 20:00:00","2"
"225","2017-01-02 05:00:00","2017-01-04 02:00:00","8"
"226","2017-01-02 08:00:00","2017-01-02 12:30:00","1"
"227","2017-01-02 10:00:00","2017-01-02 14:30:00","5"
"228","2017-01-02 10:00:00","2017-01-02 14:30:00","3"
"229","2017-01-02 15:00:00","2017-01-02 20:30:00","4"
"230","2017-01-02 15:00:00","2017-01-02 20:30:00","6"
"231","2017-01-02 17:00:00","2017-01-02 20:00:00","2"
"232","2017-01-03 08:00:00","2017-01-03 12:30:00","1"
"233","2017-01-03 09:00:00","2017-01-05 05:00:00","12"
"234","2017-01-03 10:00:00","2017-01-03 14:30:00","5"
"235","2017-01-03 10:00:00","2017-01-03 14:30:00","3"
"236","2017-01-03 15:00:00","2017-01-03 20:30:00","4"
"237","2017-01-03 15:00:00","2017-01-03 20:30:00","6"
"238","2017-01-03 17:00:00","2017-01-03 20:00:00","2"
"239","2017-01-04 08:00:00","2017-01-04 12:30:00","1"
"240","2017-01-04 09:00:00","2017-01-05 02:00:00","10"
"241","2017-01-04 10:00:00","2017-01-04 14:30:00","5"
"242","2017-01-04 10:00:00","2017-01-04 14:30:00","3"
"243","2017-01-04 15:00:00","2017-01-04 20:30:00","4"
"244","2017-01-04 15:00:00","2017-01-04 20:30:00","6"
"245","2017-01-04 17:00:00","2017-01-04 20:00:00","2"
"246","2017-01-05 08:00:00","2017-01-05 12:30:00","1"
"247","2017-01-05 10:00:00","2017-01-05 14:30:00","5"
"248","2017-01-05 10:00:00","2017-01-05 14:30:00","3"
"249","2017-01-05 15:00:00","2017-01-05 20:30:00","4"
"250","2017-01-05 15:00:00","2017-01-05 20:30:00","6"
"251","2017-01-05 17:00:00","2017-01-05 20:00:00","2"
"252","2017-01-06 08:00:00","2017-01-06 12:30:00","1"
"253","2017-01-06 09:00:00","2017-01-08 01:00:00","11"
"254","2017-01-06 10:00:00","2017-01-06 14:30:00","5"
"255","2017-01-06 10:00:00","2017-01-06 14:30:00","3"
"256","2017-01-06 15:00:00","2017-01-06 20:30:00","4"
"257","2017-01-06 15:00:00","2017-01-06 20:30:00","6"
"258","2017-01-06 17:00:00","2017-01-06 20:00:00","2"
"259","2017-01-07 00:09:00","2017-01-08 01:00:00","13"
"260","2017-01-07 00:09:00","2017-01-08 01:00:00","14"
"261","2017-01-07 08:00:00","2017-01-07 12:30:00","1"
"262","2017-01-07 10:00:00","2017-01-07 14:30:00","5"
"263","2017-01-07 10:00:00","2017-01-07 14:30:00","3"
"264","2017-01-07 15:00:00","2017-01-07 20:30:00","4"
"265","2017-01-07 15:00:00","2017-01-07 20:30:00","6"
"266","2017-01-07 17:00:00","2017-01-07 20:00:00","2"
"267","2017-01-08 06:00:00","2017-01-08 22:00:00","7"
"268","2017-01-08 08:00:00","2017-01-08 12:30:00","1"
"269","2017-01-08 10:00:00","2017-01-08 14:30:00","5"
"270","2017-01-08 10:00:00","2017-01-08 14:30:00","3"
"271","2017-01-08 15:00:00","2017-01-08 20:30:00","4"
"272","2017-01-08 15:00:00","2017-01-08 20:30:00","6"
"273","2017-01-08 17:00:00","2017-01-08 20:00:00","2"
"274","2017-01-09 05:00:00","2017-01-11 02:00:00","8"
"275","2017-01-09 08:00:00","2017-01-09 12:30:00","1"
"276","2017-01-09 10:00:00","2017-01-09 14:30:00","5"
"277","2017-01-09 10:00:00","2017-01-09 14:30:00","3"
"278","2017-01-09 15:00:00","2017-01-09 20:30:00","4"
"279","2017-01-09 15:00:00","2017-01-09 20:30:00","6"
"280","2017-01-09 17:00:00","2017-01-09 20:00:00","2"
"281","2017-01-10 08:00:00","2017-01-10 12:30:00","1"
"282","2017-01-10 09:00:00","2017-01-12 05:00:00","12"
"283","2017-01-10 10:00:00","2017-01-10 14:30:00","5"
"284","2017-01-10 10:00:00","2017-01-10 14:30:00","3"
"285","2017-01-10 15:00:00","2017-01-10 20:30:00","4"
"286","2017-01-10 15:00:00","2017-01-10 20:30:00","6"
"287","2017-01-10 17:00:00","2017-01-10 20:00:00","2"
"288","2017-01-11 08:00:00","2017-01-11 12:30:00","1"
"289","2017-01-11 09:00:00","2017-01-12 02:00:00","10"
"290","2017-01-11 10:00:00","2017-01-11 14:30:00","5"
"291","2017-01-11 10:00:00","2017-01-11 14:30:00","3"
"292","2017-01-11 15:00:00","2017-01-11 20:30:00","4"
"293","2017-01-11 15:00:00","2017-01-11 20:30:00","6"
"294","2017-01-11 17:00:00","2017-01-11 20:00:00","2"
"295","2017-01-12 08:00:00","2017-01-12 12:30:00","1"
"296","2017-01-12 10:00:00","2017-01-12 14:30:00","5"
"297","2017-01-12 10:00:00","2017-01-12 14:30:00","3"
"298","2017-01-12 15:00:00","2017-01-12 20:30:00","4"
"299","2017-01-12 15:00:00","2017-01-12 20:30:00","6"
"300","2017-01-12 17:00:00","2017-01-12 20:00:00","2"
"301","2017-01-13 08:00:00","2017-01-13 12:30:00","1"
"302","2017-01-13 09:00:00","2017-01-15 01:00:00","11"
"303","2017-01-13 10:00:00","2017-01-13 14:30:00","5"
"304","2017-01-13 10:00:00","2017-01-13 14:30:00","3"
"305","2017-01-13 15:00:00","2017-01-13 20:30:00","4"
"306","2017-01-13 15:00:00","2017-01-13 20:30:00","6"
"307","2017-01-13 17:00:00","2017-01-13 20:00:00","2"
"308","2017-01-14 00:09:00","2017-01-15 01:00:00","13"
"309","2017-01-14 00:09:00","2017-01-15 01:00:00","14"
"310","2017-01-14 08:00:00","2017-01-14 12:30:00","1"
"311","2017-01-14 10:00:00","2017-01-14 14:30:00","5"
"312","2017-01-14 10:00:00","2017-01-14 14:30:00","3"
"313","2017-01-14 15:00:00","2017-01-14 20:30:00","4"
"314","2017-01-14 15:00:00","2017-01-14 20:30:00","6"
"315","2017-01-14 17:00:00","2017-01-14 20:00:00","2"
"316","2017-01-15 06:00:00","2017-01-15 22:00:00","7"
"317","2017-01-15 08:00:00","2017-01-15 12:30:00","1"
"318","2017-01-15 10:00:00","2017-01-15 14:30:00","5"
"319","2017-01-15 10:00:00","2017-01-15 14:30:00","3"
"320","2017-01-15 15:00:00","2017-01-15 20:30:00","4"
"321","2017-01-15 15:00:00","2017-01-15 20:30:00","6"
"322","2017-01-15 17:00:00","2017-01-15 20:00:00","2"
"323","2017-01-16 05:00:00","2017-01-18 02:00:00","8"
"324","2017-01-16 08:00:00","2017-01-16 12:30:00","1"
"325","2017-01-16 10:00:00","2017-01-16 14:30:00","5"
"326","2017-01-16 10:00:00","2017-01-16 14:30:00","3"
"327","2017-01-16 15:00:00","2017-01-16 20:30:00","4"
"328","2017-01-16 15:00:00","2017-01-16 20:30:00","6"
"329","2017-01-16 17:00:00","2017-01-16 20:00:00","2"
"330","2017-01-17 08:00:00","2017-01-17 12:30:00","1"
"331","2017-01-17 09:00:00","2017-01-19 05:00:00","12"
"332","2017-01-17 10:00:00","2017-01-17 14:30:00","5"
"333","2017-01-17 10:00:00","2017-01-17 14:30:00","3"
"334","2017-01-17 15:00:00","2017-01-17 20:30:00","4"
"335","2017-01-17 15:00:00","2017-01-17 20:30:00","6"
"336","2017-01-17 17:00:00","2017-01-17 20:00:00","2"
"337","2017-01-18 08:00:00","2017-01-18 12:30:00","1"
"338","2017-01-18 09:00:00","2017-01-19 02:00:00","10"
"339","2017-01-18 10:00:00","2017-01-18 14:30:00","5"
"340","2017-01-18 10:00:00","2017-01-18 14:30:00","3"
"341","2017-01-18 15:00:00","2017-01-18 20:30:00","4"
"342","2017-01-18 15:00:00","2017-01-18 20:30:00","6"
"343","2017-01-18 17:00:00","2017-01-18 20:00:00","2"
"344","2017-01-19 08:00:00","2017-01-19 12:30:00","1"
"345","2017-01-19 10:00:00","2017-01-19 14:30:00","5"
"346","2017-01-19 10:00:00","2017-01-19 14:30:00","3"
"347","2017-01-19 15:00:00","2017-01-19 20:30:00","4"
"348","2017-01-19 15:00:00","2017-01-19 20:30:00","6"
"349","2017-01-19 17:00:00","2017-01-19 20:00:00","2"
"350","2017-01-20 08:00:00","2017-01-20 12:30:00","1"
"351","2017-01-20 09:00:00","2017-01-22 01:00:00","11"
"352","2017-01-20 10:00:00","2017-01-20 14:30:00","5"
"353","2017-01-20 10:00:00","2017-01-20 14:30:00","3"
"354","2017-01-20 15:00:00","2017-01-20 20:30:00","4"
"355","2017-01-20 15:00:00","2017-01-20 20:30:00","6"
"356","2017-01-20 17:00:00","2017-01-20 20:00:00","2"
"357","2017-01-21 00:09:00","2017-01-22 01:00:00","13"
"358","2017-01-21 00:09:00","2017-01-22 01:00:00","14"
"359","2017-01-21 08:00:00","2017-01-21 12:30:00","1"
"360","2017-01-21 10:00:00","2017-01-21 14:30:00","5"
"361","2017-01-21 10:00:00","2017-01-21 14:30:00","3"
"362","2017-01-21 15:00:00","2017-01-21 20:30:00","4"
"363","2017-01-21 15:00:00","2017-01-21 20:30:00","6"
"364","2017-01-21 17:00:00","2017-01-21 20:00:00","2"
"365","2017-01-22 06:00:00","2017-01-22 22:00:00","7"
"366","2017-01-22 08:00:00","2017-01-22 12:30:00","1"
"367","2017-01-22 10:00:00","2017-01-22 14:30:00","5"
"368","2017-01-22 10:00:00","2017-01-22 14:30:00","3"
"369","2017-01-22 15:00:00","2017-01-22 20:30:00","4"
"370","2017-01-22 15:00:00","2017-01-22 20:30:00","6"
"371","2017-01-22 17:00:00","2017-01-22 20:00:00","2"
"372","2017-01-23 05:00:00","2017-01-25 02:00:00","8"
"373","2017-01-23 08:00:00","2017-01-23 12:30:00","1"
"374","2017-01-23 10:00:00","2017-01-23 14:30:00","5"
"375","2017-01-23 10:00:00","2017-01-23 14:30:00","3"
"376","2017-01-23 15:00:00","2017-01-23 20:30:00","4"
"377","2017-01-23 15:00:00","2017-01-23 20:30:00","6"
"378","2017-01-23 17:00:00","2017-01-23 20:00:00","2"
"379","2017-01-24 08:00:00","2017-01-24 12:30:00","1"
"380","2017-01-24 09:00:00","2017-01-26 05:00:00","12"
"381","2017-01-24 10:00:00","2017-01-24 14:30:00","5"
"382","2017-01-24 10:00:00","2017-01-24 14:30:00","3"
"383","2017-01-24 15:00:00","2017-01-24 20:30:00","4"
"384","2017-01-24 15:00:00","2017-01-24 20:30:00","6"
"385","2017-01-24 17:00:00","2017-01-24 20:00:00","2"
"386","2017-01-25 08:00:00","2017-01-25 12:30:00","1"
"387","2017-01-25 09:00:00","2017-01-26 02:00:00","10"
"388","2017-01-25 10:00:00","2017-01-25 14:30:00","5"
"389","2017-01-25 10:00:00","2017-01-25 14:30:00","3"
"390","2017-01-25 15:00:00","2017-01-25 20:30:00","4"
"391","2017-01-25 15:00:00","2017-01-25 20:30:00","6"
"392","2017-01-25 17:00:00","2017-01-25 20:00:00","2"
"393","2017-01-26 08:00:00","2017-01-26 12:30:00","1"
"394","2017-01-26 10:00:00","2017-01-26 14:30:00","5"
"395","2017-01-26 10:00:00","2017-01-26 14:30:00","3"
"396","2017-01-26 15:00:00","2017-01-26 20:30:00","4"
"397","2017-01-26 15:00:00","2017-01-26 20:30:00","6"
"398","2017-01-26 17:00:00","2017-01-26 20:00:00","2"
"399","2017-01-27 08:00:00","2017-01-27 12:30:00","1"
"400","2017-01-27 09:00:00","2017-01-29 01:00:00","11"
"401","2017-01-27 10:00:00","2017-01-27 14:30:00","5"
"402","2017-01-27 10:00:00","2017-01-27 14:30:00","3"
"403","2017-01-27 15:00:00","2017-01-27 20:30:00","4"
"404","2017-01-27 15:00:00","2017-01-27 20:30:00","6"
"405","2017-01-27 17:00:00","2017-01-27 20:00:00","2"
"406","2017-01-28 00:09:00","2017-01-29 01:00:00","13"
"407","2017-01-28 00:09:00","2017-01-29 01:00:00","14"
"408","2017-01-28 08:00:00","2017-01-28 12:30:00","1"
"409","2017-01-28 10:00:00","2017-01-28 14:30:00","5"
"410","2017-01-28 10:00:00","2017-01-28 14:30:00","3"
"411","2017-01-28 15:00:00","2017-01-28 20:30:00","4"
"412","2017-01-28 15:00:00","2017-01-28 20:30:00","6"
"413","2017-01-28 17:00:00","2017-01-28 20:00:00","2"
"414","2017-01-29 06:00:00","2017-01-29 22:00:00","7"
"415","2017-01-29 08:00:00","2017-01-29 12:30:00","1"
"416","2017-01-29 10:00:00","2017-01-29 14:30:00","5"
"417","2017-01-29 10:00:00","2017-01-29 14:30:00","3"
"418","2017-01-29 15:00:00","2017-01-29 20:30:00","4"
"419","2017-01-29 15:00:00","2017-01-29 20:30:00","6"
"420","2017-01-29 17:00:00","2017-01-29 20:00:00","2"
"421","2017-01-30 05:00:00","2017-02-01 02:00:00","8"
"422","2017-01-30 08:00:00","2017-01-30 12:30:00","1"
"423","2017-01-30 10:00:00","2017-01-30 14:30:00","5"
"424","2017-01-30 10:00:00","2017-01-30 14:30:00","3"
"425","2017-01-30 15:00:00","2017-01-30 20:30:00","4"
"426","2017-01-30 15:00:00","2017-01-30 20:30:00","6"
"427","2017-01-30 17:00:00","2017-01-30 20:00:00","2"
"428","2017-01-31 08:00:00","2017-01-31 12:30:00","1"
"429","2017-01-31 09:00:00","2017-02-02 05:00:00","12"
"430","2017-01-31 10:00:00","2017-01-31 14:30:00","5"
"431","2017-01-31 10:00:00","2017-01-31 14:30:00","3"
"432","2017-01-31 15:00:00","2017-01-31 20:30:00","4"
"433","2017-01-31 15:00:00","2017-01-31 20:30:00","6"
"434","2017-01-31 17:00:00","2017-01-31 20:00:00","2"
"435","2017-02-01 08:00:00","2017-02-01 12:30:00","1"
