Morford	Mark P. O.
Gaset	Jose Ortega Y
Maurier	Daphne Du
Hawthorne	Nathaniel
Page	Nick
Wolf	Laura
DUNCAN	LOIS
Grant	Susan
Vine	Barbara
Murphy	Shirley Rousseau
Lindskold	Jane
Smith	Betty
Shepherd	Cybill
O'Nan	Stewart
Baldacci	David
Adams	Douglas
Lawson	Mary
Cather	Willa
Goldsmith	Olivia
Fielding	Helen
Dixon	Franklin W.
Braun	Lilian Jackson
Virden	Holly
Wright	H. Norman
Anthony	Piers
BRADBURY	RAY
Austen	Mary
Bradbury	Ray
Chandler	Raymond
Coelho	Paolo
Weldon	Fay
Weir	Arabella
Davenport	Kiana
Townsend	Sue
Demirkan	Renan
Moore	Michael
Franzen	Jonathan
Salinger	Jerome D.
Joyce	James
Trollope	Joanna
Kundera	Milan
Roy	Arundhati
Levinson	Robert S.
Landvik	Lorna
Golden	Arthur
HARUF	KENT
Cornwell	Patricia D.
Farley	Carol J.
Woodiwiss	Kathleen E.
Plain	Belva
HADDON	MARK
BRASHARES	ANN
Segal	Erich
Adler	Elizabeth
Sparks	Nicholas
SAUL	JOHN
LANDVIK	LORNA
Thayer	Steve
Chevalier	Tracy
Kelman	Judith
Palmer	Michael
Hughes	Francine
Bridwell	Norman
McCourt	Frank
McCourt	Malachy
Sandoz	Mari
Perry	Anne
SMITH	ALEXANDER MCCALL
Maguire	Gregory
Martel	Yann
Rendell	Ruth
Franken	Al
TARTT	DONNA
Milne	John
Pratchett	Terry
White	E. B.
Barrie	J. M.
O'Hara	Mary
Rennison	Louise
Grahame	Kenneth
Cornwell	Bernard
Lint	Charles de
Dunsany	Edward John Moreton Drax Plunkett
Heyer	Georgette
WILDE	OSCAR
Hughes	Ted
DAHL	ROALD
Napoli	Donna Jo
Byatt	A. S.
Hidier	Tanuja Desai
KINSELLA	SOPHIE
Wolff	Isabel
Alcott	Louisa May
Orwell	George
Dickens	Charles
Allende	Isabel
Datlow	Ellen
BYATT	A.S.
Heller	Joseph
Galsworthy	John
Blyton	Enid
Gaiman	Neil
Moore	Alan
Suggs	Trudy
Wolfe	Tom
Udall	Brady
Hickam	Homer
Abraham	Pearl
Junger	Sebastian
Armstrong	Karen
Barnard	Mary
Brin	David
Boyle	T. Coraghessan
Woodruff	Paul
Madaras	Lynda
McCauley	Stephen
Holland	Isabelle
Conrad	Pam
McDaniel	Lurlene
Kaufman	Brian
Darnton	John
Schenk	Martin
EDDINGS	DAVID
Reiser	Paul
Hartwell	David G.
Barry	Dave
Holt	John R.
Beale	Theodore
Robinson	Frank M.
Clark	Mary Jane
Shelley	Mary Wollstonecraft
Simau1999	Isabel-Clara
Westall	Robert
Parker	Robert B.
Works	Rita Chapman
Ansay	A. Manette
Waters	Sarah
Frank	Anne
Lopez	Barry
Palast	Greg
Kane	Andrea
Barr	Nevada
Auster	Paul
Maron	Margaret
BARKER	EDNA
Whitaker	Muriel
Irving	John
Patchett	Ann
Dahl	Roald
Kidd	Sue Monk
Thiele	Bob
McCullough	Colleen
Harris	Joanne
Cahill	Thomas
Hudson	Michael
Smiley	Jane
Francis	Dick
Roberts	Nora
Marzollo	Jean
Wick	Walter
Delinsky	Barbara
James	P. D.
Upfield	Arthur William
Rice	Christopher
Stout	Rex
Anderson	Joan
Havner	Vance
Wiersbe	Warren W.
Lucado	Max
Crabb	Lawrence J
Kaufman	Barry Neil
Sjogren	Bob
Moody	Frederick J.
Pirolo	Neal
Sleator	William
Saint-Exupauy	Antoine de
Bach	Richard
Sullivan	Kevin
Morgan	Michele
Cunningham	Scott,
Hulse	David Allen
Webster	Richard
King	Bernard
Hutchins	Pat
Shakespeare	William
McClone	Melissa
John	Cheryl St.
Carroll	Lewis
Twain	Mark
Crow	Dog Mary
Gordon	Linda
King	Florence
Sebold	Alice
Gray	Spalding
Harris	Thomas
RUTHERFURD	EDWARD
Atwood	Margaret
Allison	Dorothy
ANGELOU	MAYA
Wharton	Edith
Bird	Mary Brave
Neihardt	John G.
Warren	Roland
Molloy	Johnny
McCourt	James
Wurtzel	Elizabeth
Bradley	Bill
Ruiz	Don Miguel
Racionero	Luis
Simau	Eugeni Perea
Hauser	Thomas
Villatoro	Vicenau
Mora	Vauctor
Castedo	Elena
Dracs	Ofaulia
Serra	Antoni
Junyent	M. Carme
Capau1987	Jaume
Serra	Maurius
Torrent	Ferran
Agut	Joan
Rico-Godoy	Carmen
Jaau	Maria
Lester	Paul
Tolstoy	Leo
Nye	Simon
Johnson	Robert A
Vazquez-Rial	Horacio
Gascoigne	Marc
Maze	Stephanie
Dallas	Sandra
McCaffrey	Anne
Gemmell	David
Zigman	Laura
Truman	Margaret
Kynaston	Nic
Danziger	Paula
Lupoff	Richard A.
Bebris	Carrie
Dubois	Ellen Carol
Ransom	Candice F.
Bobrick	Sam
Grosvenor	Donna K
HAWTHORNE	NATHANIEL
Block	Valerie
Rice	Luanne
Gilchrist	Ellen
IRVING	JOHN
GAUTREAUX	TIM
Russo	Richard
Gaarder	Jostein
QUINDLEN	ANNA
Johnson	Diane
KOONTZ	DEAN
Lamb	Wally
Mah	Adeline Yen
Ehrenreich	Barbara
DUNNETT	DOROTHY
CARRE	JOHN LE
Gordon	A. C.
Dickinson	Emily
Harrison	Hazel
Girzone	Joseph
GIRZONE	JOSEPH
Anderson	Lorraine
HUDLER	AD
Carlton	Josephine
Nancy	Ted L.
Wheen	Francis
Reardon	Joyce
Sheldon	Sidney
Moore	Christopher
Lacey	Robert
Dorsey	Tim
COMPTON	JODI
Leonard	Elmore
Coady	Lynn
Lawton	John
Lo	Eileen Yin-Fei
Edwards	Tilden H.
Seth	Vikram
Gaskell	Elizabeth
Diamant	Anita
Haney	Lauren
Stern	Gerald
Cornwell	Patricia Daniels
Grimes	Martha
James	Henry
Jewett	Sarah Orne
Williams	William Carlos
Trollope	Anthony
Kemelman	Harry
Millington	Mil
Farnham	Suzanne G.
Milosz	Czeslaw
Guenther	Margaret
Juarroz	Roberto
Rubinstein	Akiba
McLaughlin	Emma
Coelho	P
Ferrante	Elena
Jennings	Paul
Neely	Mark E., Jr.
Weininger	Stephen J.
Katzenstein	Larry
Steinman	David
Kohn	Alfie
Lillard	Paula Polk
Lewis	David
Livingston	Billie
Lang	Adele
Banbury	Jen
Coulter	Catherine
Dunne	Dominick
Cussler	Clive
Pascal	John
Hiaasen	Carl
Foer	Jonathan Safran
Marciano	Francesca
GLASS	JULIA
O'Dell	Tawni
Weiner	Jennifer
Steel	Danielle
Hale	Leon
Banks	Russell
Coleridge	Samuel Taylor
Warshauer	Bradley
Mason	Bobbie Ann
Robards	Karen
Lathen	Emma
Kellerman	Faye
Mitchard	Jacquelyn
SMILEY	JANE
DAVIDSON	DIANE MOTT
Bushnell	Candace
HANNAH	KRISTIN
Marshall	Michael
Widome	Allen
Smith	Wilbur
Thaler	Mike
Slade	Michael
Sandford	John
HOAG	TAMI
Dekker	Ted
Hunt	Angela Elwell
Lewis	C. S.
Eisner	William
Cook	Robin
HARRIS	E. LYNN
Goodman	Linda
RICE	ANNE
Rice	Anne
Rossner	Judith
French	Marilyn
Dyer	Wayne W.
Maupin	Armistead
Morgenstern	Julie
Straub	Peter
Bradford	Barbara Taylor
Jackson	Lisa
MCCRUMB	SHARYN
Roberts	Cokie
Corey	Shana
Ostrow	Jesse S.
Korman	Justine
GIFF	PATRICIA REILLY
Cleary	Beverly
Applegate	K. A.
Yolen	Jane
Moche	Dinah L.
Miller	Marvin
Boldman	Craig
Wells	H. G.
Kalman	Bobbie
Lackey	Mercedes
Gilman	Dorothy
Finch	Christopher
FRAZIER	CHARLES
Spencer-Fleming	Julia
Flagg	Fannie
Wilder	Laura Ingall
GARDNER	LISA
Warner	Gertrude Chandler
Hightower	Lynn S.
McCrumb	Sharyn
Schlosser	Eric
Brockmann	Suzanne
Levine	Gail Carson
KUFFEL	FRANCES
Conant	Susan
SCHICKLER	DAVID
McNaught	Judith
Evanovich	Janet
Plath	Sylvia
Koidahl	Ilona
Michaels	Fern
Byars	Betsy
Sterling	Bruce
Breathnach	Sarah Ban
Hoffman	Alice
Scottoline	Lisa
Johnson	Spencer
McEwan	Ian
Feldman	David
Bausch	Richard
Fforde	Katie
Burke	James
Broyard	Bliss
Paretsky	Sara
Webb	Charles
Benedict	Elizabeth
Morison	Stanley
Miller	Henry
Whyte	David
Bennis	Warren
Beck	Martha
Tutu	Desmond Mpilo
Shepard	Kris
Kerouac	Jack
Buber	Martin
Bettin	Gianfranco
Monette	Paul
Hemingway	Ernest
Carlson	Melody
Kwitney	Alisa
Letts	Billie
Bank	Melissa
Gelissen	Rena Kornreich
Zappa	Moon Unit
Mooney	Ted
Wiggs	Susan
Rubio	Gwyn Hyman
Robinson	Elisabeth
Niffenegger	Audrey
Farrington	Tim
Potok	Chaim
Spencer	Scott
Naipaul	V. S.
Naipaul	V.S.
Giono	Jean
Fournier	Alain
Remarque	Erich Maria
Barjavel	Rene
David-Neiel	Alexandra
Baudelaire	C.
Radiguet	Raymond
Zola	Emile
Nadolny	Sten
Benard	Cheryl
Wichterich	Christa
Blofeld	John.
Obbo	Christine
Heim	Peter B
Lind	Hera
Hamilton	Jane
Higgins	Jack
Collins	Max Allan
Guterson	David
Schlink	Bernhard
Dickey	Eric Jerome
Gaffney	Patricia
Evans	Richard Paul
Levy	Marc
Becker	Laney Katz
NABOKOV	VLADIMIR
Lauck	Jennifer
Keenan	Joe
Ray	Jeanne
Parsons	Tony
McCafferty	Jane
Esquivel	Laura
TOLKIEN	J.R.R.
Berry	Venise T.
Karon	Jan
McCarthy	Cormac
Thrasher	Travis
McEnroe	John
Mandel	Sally
Shuler	Linda Lay
Dailey	Janet
Lanzmann	Claude
Snicket	Lemony
Thomas	Matthew
Vian	Boris
Sepeilveda	Luis
Selby	Hubert
Weisberg	Jacob
Lodge	David
Hamilton	Judy
Ardagh	Philip
Banks	Iain
Crombie	David
Steinbeck	John
O'Mara	Michael
Brassey	Richard
Hamme	Jean Van
Holder	R. W.
Ferguson	Valerie
Werber	Bernard
Sloss	Andy
KRONZEK	ALLAN ZOLA
Squire	Charles L.
Jarvie	Gordon
Spence	Alan
Siegel	Helene
Shepard	E.H.
Milne	Alan Alexander
Thompson	Eric
Strout	Elizabeth
Sedaris	David
Feinberg	Leslie
Wolfe	Chris Anne
Sanders	Lauren
Baudino	Gael
Maddison	Lauren
Anshaw	Carol
Stewart	Jean
Donoghue	Emma
McDowell	Deborah
Tulchinsky	Karen X.
Thompson	Jill
Seay	Jody
Scott	Manda
Foxworthy	Jeff
Brooks	Terry
Crispin	A.C.
Crispin	A. C.
Arnold	Madelyn
Pierce	Tamora
Chute	Carolyn
Orwig	Sara
Michaels	Melisa
Bird	Isobel
Pohl	Frederik
MCINTYRE	VONDA
Varley	John
Garden	Nancy
Griffith	Nicola
Campbell	Julie
SMITH	LEE
WOODSON	JACQUELINE
Woodson	Jacqueline
Summitt	Pat Head
Belzer	Richard
Hornby	Nick
Johnson	Andrew L.
Babson	Marian
Gear	W. Michael
Phifer	Paul
Hoeg	Peter
Bombeck	Erma
Vecchioni	Roberto
Mortimer	John
Doctorow	E. L.
Schama	Simon
Waters	Frank
Hesse	Karen
Oppel	Kenneth
Brink	Carol Ryrie
Roberts	Shelly R.
Duane	Diane
Brockmann	Carolee
Roberts	Rachel
Namioka	Lensey
Behrend	Jackie Eileen
Clements	Andrew
LOWRY	LOIS
Hattaway	Paul
Stella	Alain
Moser	Milena
Highsmith	Patricia
Donaldson	Stephen
DONALDSON	STEPHEN R.
Rimbauer	Ellen
Herzog	Todd
Borneman	John
MCELVAINE	ROBERT S.
Stoker	Bram
Stackpole	Michael A.
Hughes	Langston
Matthews	Carol
Matthews	Carole
Tobin	Jacqueline L.
Bradley	Marion Zimmer
Codrescu	Andrei
Aarsen	Carolyne
L'Amour	Louis
Chapman	Jack
Alessandra	Anthony J
Swindoll	Charles R.
Card	Orson Scott
Howard	V. A
Wilson	Walter P.
Fries	Bruce
Limbaugh	Rush H., III
Dingus	Anne
Chopin	Kate
Kazanjian	Kirk
Allen	Donald Merriam
Maples	William
Hausman	Carl
Peck	Richard
Connelly	Michael
Lescroart	John T.
Jakes	John
McDermott	Alice
Bailey	Hilary
Fast	Howard
Fletcher	Jessica
PATTERSON	RICHARD NORTH
Goudge	Eileen
STEEL	DANIELLE
Lamb	Arnette
CRONKITE	WALTER
Mula	Tom
Dyer	Lois Faye
Lamb	Sharon
Doyle	Sir Arthur Conan
CHRISTIE	AGATHA
Cohen	Mark
Shahan	Sherry
Myers	Helen
Rowland	Della
Adler	Irving.
Peters	Elizabeth
Busbee	Shirlee
BRONTE	EMILY
Peretti	Frank E.
Keel	John A.
Scott	Stefanie
Winters	Rebecca
Cabot	Meg
Lee	Tanith
Thacker	Cathy Gillen
Burton	Richard
Eugenides	Jeffrey
Hastings	Beverly
Bergerac	Cyrano de
Robertson	James C.
Southwick	Teresa
Guest	Judith
Field	Sandra
Brooks	Helen
Wright	Blanche Fisher
Gately	George
Burke	James Lee
Chabon	Michael
Michaels	Barbara
Juster	Norton
Blake	Michael
Bellairs	John
HIAASEN	CARL
Douglas	Carole Nelson
GOLDMAN	WILLIAM
Reisner	Marc
Bowden	Mark
Pearce	Jonathan
Bronte	Emily
Botton	Alain de
Palahniuk	Chuck
Proulx	Annie
Davies	Adam
Walker	Harry M.
Evans	Nicholas
MONTGOMERY	L.M.
MITCHELL	DAVID
Bukowski	Charles
Murakami	Haruki
Burnett	Frances Hodgson
Wrede	Patricia C.
London	Jack
Wilkinson	Bruce
Goodway	Malcolm
MacDonald	Ann-Marie
Johansen	Iris
MICHAELS	FERN
Howard	Linda
Miller	Sue
Tepper	Sheri S.
SEUSS	DR
Wolff	Tobias
Singer	Isaac Bashevis
Zukav	Gary
Kelly	Alfred H.
Kliban	B
BLUNT	JUDY
Trevor	William
Walker	Alice
Gazi	Stephen
Stegner	Wallace
DeLillo	Don
Ellison	Ralph
Silverstein	Shel
Lahiri	Jhumpa
Trigg	Liz
Sullivan	Charles
ROBBINS	TOM
Hegi	Ursula
Richardson	Samuel
Martin	Valerie
Farrer-Halls	Gill
Mordock	John
Bowes	Susan
GABALDON	DIANA
Smith	Zadie
GOLDBERG	NATALIE
Grafton	Sue
Kennedy	William J.
Shacochis	Bob
Alcorn	Randy
Cobb	Nancy
Moor	Margriet de
Carnegie	Dale
Stoll	Clifford
CISNEROS	SANDRA
Paulsen	Gary
Henry	Marguerite
Garland	Sherry
Kirberger	Kimberly
Papa	Ariella
Rosen	Michael J.
Chipman	Dawn
Olson	Shannon
Naylor	Phyllis Reynolds
Stolz	Karen
NAYLOR	CLARE
Chbosky	Stephen
Albanese	Antonio
Weis	Margaret
Doig	Ivan
Nasar	Sylvia
Jin	Ha
Laird	Elizabeth
Ellison	Harlan
Gitlitz	David M.
Hohlbein	Wolfgang
Hein	Christoph
Hauptmann	Gaby
See	Carolyn
Wolf	Christa
Brussig	Thomas
Vitebsky	Piers
Weidner	Christopher
Lovecraft	H. P.
Grim	Pamela
Clarke	Arthur C.
Bennett	Jay
Applegate	John
Straczynski	J. Michael
Myers	John Myers
Tannahill	Reay
Whyte	Jack
Donaldson	Stephen R.
Donaldson	Stephen R
Matthiessen	Peter
Kent	Paul
McKinley	Robin
Whittemore	Hank
Satter	Ellyn
Brittain	Bill
Wilson	August
Robinson	Marilynn
Nunez	Sigrid
Scott	Amanda
Fowles	John
Catling	Christopher
Bundles	A'Lelia
Sayers	Dorothy L.
Deveraux	Jude
Lindbergh	Anne Morrow
KING	LAURIE R.
Duprau	Jeanne
Erdrich	Louise
Haynes	Melinda
Yang	Belle
Shields	Carol
Nabokov	Vladimir Vladimirovich
Powers	Tim
Lorrah	Jean
Wilde	Oscar
Beer	John
Coelho	Paulo
Erskine	Barbara
Arens	Annegrit
Alpers	Hans Joachim
Hesse	Hermann
Zglinicki	Claudia von
Miller	Linda Lael
Feather	Jane
L'AMOUR	LOUIS
Forstchen	William
Robinson	Spider
McKiernan	Dennis L.
Rush	Mallory
Fenn	Lionel
Halston	Carole
Rimmer	Christine
James	BJ
Capote	Truman
Scott	Darrell
Goethe	Johann Wolfgang Von
Elsaesser	Thomas
Plass	Adrian
Mccourt	Frank
Quirke	Stephen
Herbert	James
Sutcliffe	William
Brunhoff	Jean de
Fix	Philippe
Keller	Claudia
Wilson	F. Paul
Lazarus	Arnold A.
Estes	Clarissa Pinkola
Jensen	Virginia Allen
PALAHNIUK	CHUCK
Allen	John Paul
Trudeau	G. B.
Larson	Gary
Keillor	Garrison
Breathed	Berke
Kipfer	Barbara Ann
FRIED	STEPHEN
Stephanopoulos	George
Brown	Rita Mae
Funke	Cornelia
Lee	Stan
Paglia	Camille
Kahn	James
McBride	James
Sachar	Louis
Lustbader	Eric Van
Asprin	Robert
FRANK	ANNE
Feverstein	Georg
Eve	Nomi
Catton	Bruce
Gibson	William
Eaton	Clement
Kinsella	Sophie
Collins	Judy
Sacks	Oliver W.
Broadrick	Annette
Cohn	Rachel
Keene	Carolyn
M.D.	Rachel Naomi Remen
Krentz	Jayne Ann
Smith	Joan
Gibbons	Kaye
Chandler	Bryn
Brewster	Tod
Osborne	Eliza
Norman	Howard
Griesemer	John
Swick	Marly A.
L'Heureux	John
Ivins	Molly
Carter	Forrest
Eco	Umberto
Bear	Greg
Reichs	Kathy
Deaver	Jeffery
Smith	Martin Cruz
Andrews	V.C.
Hill	Stephen
Heine	Ernst W.
Fletcher	Donna
Larsen	Jeanne
Wood	Bari
Cozzens	James Gould
Jonsson	Reidar
Clark	June Vendall
Reilly	Robert
Nunn	Kem
King	Larry
Gaines	Ernest J.
Lamott	Anne
Lott	Bret
Hurston	Zora Neale
Fisher	Jude
Rushdie	Salman
Taylor	G. P.
Bryson	Bill
MCCAFFREY	ANNE
Pullman	Philip
Astley	Judy
Allen	Roger E.
Tempest	Margaret
Barclay	James
Gibran	Kahlil
Purves	Libby
KIRKPATRICK	JANE
GERRITSEN	TESS
Burns	Olive Ann
Ende	Michael
Boom	Corrie Ten
Thoene	Bodie
Schalesky	Marlo
SALZMAN	MARK
Smith	Alexander McCall
Paterniti	Michael
Miller	Dorothy Reynolds
Martin	Steve
Yoshimoto	Banana
Jonas	Ann Rae
Digest	Readers
Campbell	Joseph
Gibson	Dyanne
Asimov	Isaac
Coville	Bruce
BROOKS	TERRY
Danticat	Edwidge
Lansdale	Joe R.
PEREZ-REVERTE	ARTURO
O'Connor	Sheila
LARSON	ERIK
Bellow	Saul
Millman	Dan
Vizzini	Ned
Anderson	Laurie Halse
Wooding	Chris
Morris	Mary McGarry
O'Leary	Brian
Peat	F. David
Hubbard	L. Ron
Coonts	Stephen
WHITMAN	JOHN
Kummer	Peter
Regener	Sven
Leigh	Wendy
Sterling	Dorothy
Iyengar	B. K. S.
Atkinson	Kate
McIntosh	Susan M.
Gross	Paul
Muldrow	Diane
Bloch	Robert
Molay	Mollie
Colling	Grace
Blume	Judy
Rabb	Jonathan
Robinson	Patrick
BAKKER	ROBERT T.
Saberhagen	Fred
Moran	Richard
Dimercurio	Michael
Collins	Wilkie
Cloutier	Raymond
Wallace	Randall
Huffey	Rhoda
TRILLIN	CALVIN
Simon	Rachel
Earls	Nick
Emshwiller	Carol
Robbins	Tom
Konecky	Edith
HARR	JONATHAN
Hannah	Kristin
Rand	Ayn
ATWOOD	MARGARET
DUMAS	ALEXANDRE
Garlock	Dorothy
Otto	Whitney
Cunningham	Michael
Ackerman	Diane
Isaacs	Susan
Preston	Douglas
Robinson	Kim Stanley
Safire	William
Glass	Leslie
Fitzgerald	F.Scott
Spellman	Cathy Cash
Slick	Grace
Bledsoe	Jerry
Sigaloff	Jane
Keyes	Marian
Fried	Stephen
Rossi	Melissa
Collins	Jackie
Barrymore	Drew
Alexander	Carrie
Handeland	Lori
Salonen	Debra
Laake	Deborah
Way	Margaret
Carroll	Marisa
Duran	Eduardo
Eggers	Dave
Soto	Hernando De
Miller	Julie
Fforde	Jasper
Holden	Wendy
Faulks	Sebastian
MARGOLIS	SUE
Mossanen	Dora Levy
Holman	Sheri
Susann	Jacqueline
Laurens	Stephanie
Mendelsohn	Jane
Swindells	Madge
Adams	Richard George
Colapinto	John
Kurthy	Ildiko
McPhee	John
Vonnegut	Kurt
Vienne	Veronique
MARAI	SANDOR
McMenamin	Mark A. S.
Robinson	Nancy K
Lund	Jillian
Rinaldi	Ann
O'Dell	Scott
ROCKWELL	THOMAS
Plummer	Louise
Duncan	Dave
Awlinson	Richard
Ciencin	Scott
Kennealy-Morrison	Patricia
Czerneda	Julie E.
Heller	Eva
McDaniel	Jan
Dellin	Genell
Neels	Betty
Dolan	Barbara
Carlysle	Viveca
Jackson	Judy
Orde	Lewis
Sparks	Beatrice
Mayle	Peter
Dick	Philip Kindred
Kennedy	Douglas
Dick	Philip K.
Huxley	Aldous
Poe	Edgar Allan
Danielewski	Mark Z.
Vicomte	Laurent
Bonnefoy	Jean
Dick	Philip K. (Philip Kindred)
Camus	Albert
Berenstain	Stan
Wood	A. J.
Griffin	Sunny
Inc	Disney Enterprises
Silverman	Maida
Giraudoux	Jean
Ross	Nicholas
Banks	Lynne Reid
Wheat	Carolyn
SIMMONS	DAN
Stanley	Ros
Stine	R. L.
Barlow	Steve
Applegate	Katherine
Christopher	Matthew F
Friend	Marilyn Penovich
Herbert	Brian
Stephens	C. A.
Gravalos	Mary Evans O'Keefe
Rothenberg	Randall
Mills	Enos A.
FITZGERALD	JOHN
Vassalli	Sebastiano
McGrath	Patrick
Kotzwinkle	William
Bugliosi	Vincent
Richard	Mark
Elton	Ben
International	Ltd Editorial Staff Publication
RUSSELL	MARY DORIA
Harris	MacDonald
Goldstone	Lawrence
Land	Leslie
Ducornet	Rikki
HUGO	VICTOR
Egan	Jennifer
Smith	Dodie
Lowe	Doug
Eisenberg	Arlene
GREEN	JANE
Ezzo	Gary
Rainey	Dennis
Gardner	David
Vinge	Joan D.
MacAvoy	R. A.
Stevens	Brooke
Ross	Ann B.
Trigiani	Adriana
CAMPBELL	BEBE MOORE
Corcoran	Barbara
Hassinger	Amy
Jong	Erica
Palmer	Diana
Tolkien	J.R.R.
Godfrey	Rebecca
Battle	Lois
Ginsberg	Allen
TYLER	ANNE
Greeley	Andrew M.
Davis	Rick
Church	Catholic
McBride	Alfred
Ford	Russell L.
Davies	Robertson
Watterson	Bill
Kasun	Jacqueline
Meier	Leslie
Netzer	Corinne T.
Benni	Stefano
Baricco	Alessandro
Adams	Alice
Buechner	Frederick
Frisch	Max
Pynchon	Thomas
Charles	Veronika Martenova
Hubbard	Ron L.
Pilkington	Doris
Gallagher	Stephen
Stevenson	Robert Louis
Currie	Edwina
Mackenzie	Donald A.
Verne	Jules
Lee	Laurie
Siciliano	Sam
Haldeman	Joe
Uris	Leon
Boukreev	Anatoli
Lewis	Steve
Deighton	Len
Anderson	Dale L.
Golding	William Gerald
Mann	William J.
Hamilton	Laurell K.
Reese	James
Sheindlin	Judge Judy
Suri	Manil
SULLIVAN	VICTORIA
Amis	Kingsley
Cooper	Dale
Walker	Scott
Clement	Catherine
Toibin	Colm
Weber	Joe
Carr	Caleb
Baxter	Stephen
Burroughs	Augusten
Dunn	Mark
Carpenter	William
Eddings	David
PLAIN	BELVA
Case	John
Cross	Donna Woolfolk
KRAKAUER	JON
Krakauer	Jon
Haddon	Mark
Ryan	Michael
Tanenbaum	Robert K.
Wallace	Judi Lawson
D'Adamo	Peter J.
Wiggin	Helene
Levin	Ira
Lindsay	Norman
Lamb	Christina
Michael	Crichton
Phelan	Nancy Creagh
BOHJALIAN	CHRIS
Peck	M. Scott
Kaye	M. M.
Creech	Sharon
Jacq	Christian
Devlin	Dean
Marney	Dean
Ettler	Justine
Brown	Margaret Wise
Arensen	Shel
McKay	Amanda
Djerassi	Carl
O'Faolain	Nuala
Strobel	Lee
Rains	Sally
authors	various
Raffel	Burton
McMillan	Terry
Lassiter	Don
Stewart	Jimmy
WILBER	KEN
Cosby	Bill
Gordon	Ruth
O'Connor	Flannery
Mitchell	Adrian
Davis	Donald A.
Silko	Leslie Marmon
Root-Bernstein	Robert S.
Jenkins	Beverly
Frank	Dorothea Benton
Christie	Agatha
Brookner	Anita
Hecht	Daniel
Daher	Anita
Lawhead	Stephen R.
White	Robin A.
White	Stephen
Archer	Jeffrey
Maupassant	Guy De
Kellerman	Jonathan
Wilson	Robert Charles
Deleuze	Gilles
Weber	Peter
Gifford	Thomas
Hijuelos	Oscar
Shangdi	Taiping
Schmidt	Harald
Danesh	Arman
Callery	Emma
Beman	Donald
Inc.	Guinness Media
Brate	Adam
Levis	Bob
Gran	Maurice
Smith	J
CARTER-SCOTT	CHERIE
Hansen	Mark Victor
NILSSON	LENNART
Bovee	Courtland L.
Freemantle	David
Waddock	Sandra
Narayanan	V.K.
Mische	Michael
Douglas	Ann
Kelly	Fergus
Mailer	Norman
Ryman	Geoff
Greene	Graham
Leroux	Gaston
